URL,Title,Name,Address,Building Size,Lot Size,Year Built,Construction,Water,Sewer,Heating,Gas,Sprinkler System,Year Built/Renovated,Truck Court,Lighting,Building Type,Building Height,Building Class,Typical Floor Size,Column Spacing,Sustainability,Unfinished Ceiling Height,Sale Type,Sale Condition,Property Type,Property Subtype,Tenancy,Building FAR,Land Acres,Percent Leased,Price,Price Per SF,Cap Rate,NOI,Loading Docks,Slab To Slab,Opportunity Zone,Sale Conditions,Construction Status,LoopNet Rating
https://www.loopnet.com/Listing/2890-Review-Ave-Long-Island-City-NY/32982052/,"Long Island City, NY Industrial for Lease - 2890 Review Ave","Long Island City, NY Industrial for Lease - 2890 Review Ave","2890 Review Ave, Long Island City, NY 11101","736,400 SF",3.99 AC,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/850-Northlake-Dr-Coppell-TX/24410961/,"Coppell, TX Flex, Industrial for Lease - 850 Northlake Dr","Coppell, TX Flex, Industrial for Lease - 850 Northlake Dr","850 Northlake Dr, Coppell, TX 75019","230,400 SF",11.52 AC,1983,Reinforced Concrete,City,City,Gas,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/6304-Gravel-Ave-Alexandria-VA/31976740/,"Alexandria, VA Industrial for Lease - 6304 Gravel Ave","Alexandria, VA Industrial for Lease - 6304 Gravel Ave","6304 Gravel Ave, Alexandria, VA 22310","48,000 SF",10.63 AC,1971,Masonry,City,City,Gas,Natural,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/153-44-S-Conduit-Ave-Jamaica-NY/33313143/,"Jamaica, NY Industrial for Lease - 153-44 S Conduit Ave","Jamaica, NY Industrial for Lease - 153-44 S Conduit Ave","153-44 S Conduit Ave, Jamaica, NY 11434","116,725 SF",1.45 AC,2024,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/4014-First-Ave-Brooklyn-NY/28529428/,"Brooklyn, NY Flex, Industrial for Lease - 4014 First Ave","Brooklyn, NY Flex, Industrial for Lease - 4014 First Ave","4014 First Ave, Brooklyn, NY 11232","679,573 SF",5.38 AC,1917,Masonry,City,City,,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/28-10-Whitestone-Expy-Queens-NY/33039771/,"Queens, NY Industrial for Lease - 28-10 Whitestone Expy","Queens, NY Industrial for Lease - 28-10 Whitestone Expy","28-10 Whitestone Expy, Queens, NY 11354","245,337 SF",4.00 AC,2024,Steel,,,,,ESFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/10765-N-Mather-Blvd-Rancho-Cordova-CA/24492538/,"Rancho Cordova, CA Industrial for Lease - 10765 N Mather Blvd","Rancho Cordova, CA Industrial for Lease - 10765 N Mather Blvd","10765 N Mather Blvd, Rancho Cordova, CA 95670","155,076 SF",10.78 AC,2025,Reinforced Concrete,,,,,ESFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/235-Pinelawn-Rd-Melville-NY/27479429/,"Melville, NY Industrial for Lease - 235 Pinelawn Rd","Melville, NY Industrial for Lease - 235 Pinelawn Rd","235 Pinelawn Rd, Melville, NY 11747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/397-447-Ferry-St-Newark-NJ/17878012/,"Newark, NJ Industrial for Lease - 397-447 Ferry St","Newark, NJ Industrial for Lease - 397-447 Ferry St","397-447 Ferry St, Newark, NJ 07105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/184-10-184-60-Jamaica-Ave-Jamaica-NY/14689356/,"Jamaica, NY Industrial for Lease - 184-10-184-60 Jamaica Ave","Jamaica, NY Industrial for Lease - 184-10-184-60 Jamaica Ave","184-10-184-60 Jamaica Ave, Jamaica, NY 11423","635,949 SF",3.49 AC,,Masonry,,,,,Wet,1923/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
